timestamp,usuario,CPU,RAM,Disco,PacotesEnv,PacotesRec
2025-10-01 10:22:43,pedro,1.6,12,133,47922,120569
2025-10-01 10:22:49,pedro,2.1,12,133,47958,120669
2025-10-01 10:22:55,pedro,4.6,12,133,47984,120817
2025-10-01 10:23:01,pedro,3.7,12,133,48012,120888
2025-10-01 10:23:07,pedro,21.2,11,133,48067,121010
2025-10-01 10:23:13,pedro,31.3,12,133,48902,122697
2025-10-01 10:23:19,pedro,53.9,12,133,50328,125348
2025-10-01 10:23:25,pedro,48.7,13,133,51683,127649
2025-10-01 10:23:31,pedro,49.0,13,133,53388,130550
2025-10-01 10:23:37,pedro,49.4,14,133,54976,133069
2025-10-01 10:23:43,pedro,43.1,14,133,55705,134159
2025-10-01 10:23:49,pedro,19.6,14,133,56296,134994
2025-10-01 10:23:55,pedro,12.7,14,133,56803,135762
2025-10-01 10:24:01,pedro,37.5,10,133,57124,136231
2025-10-01 10:24:07,pedro,6.0,10,133,57196,136327
2025-10-01 10:24:13,pedro,2.2,10,133,57247,136432
2025-10-01 10:24:18,pedro,3.9,10,133,57323,136513
